1;GRUPO;2026-06-11;16:00;Estádio Azteca;Wilton Sampaio;A;México;África do Sul;FASE_DE_GRUPOS;FINALIZADA
2;GRUPO;2026-06-11;01:00;Estádio Akron;Francois Letexier;A;Coreia do Sul;Tchéquia;FASE_DE_GRUPOS;FINALIZADA
16;GRUPO;2026-06-15;22:00;SoFi Stadium;Andres Rojas;G;Irã;Nova Zelândia;FASE_DE_GRUPOS;AGENDADA;
17;GRUPO;2026-06-16;04:00;Levi's Stadium;Ivan Barton;J;Áustria;Jordânia;FASE_DE_GRUPOS;AGENDADA;
18;GRUPO;2026-06-16;16:00;MetLife Stadium;Szymon Marciniak;I;França;Senegal;FASE_DE_GRUPOS;AGENDADA;
19;GRUPO;2026-06-16;19:00;Gillette Stadium;Istvan Kovacs;I;Iraque;Noruega;FASE_DE_GRUPOS;AGENDADA;
20;GRUPO;2026-06-16;23:00;Arrowhead Stadium;Slavko Vincic;J;Argentina;Argélia;FASE_DE_GRUPOS;AGENDADA;
21;GRUPO;2026-06-17;15:00;NRG Stadium;Alireza Faghani;K;Portugal;RD Congo;FASE_DE_GRUPOS;AGENDADA;
22;GRUPO;2026-06-17;18:00;AT&T Stadium;Jesus Valenzuela;L;Inglaterra;Croácia;FASE_DE_GRUPOS;AGENDADA;
23;GRUPO;2026-06-17;20:00;BMO Field;Cesar Ramos;L;Gana;Panamá;FASE_DE_GRUPOS;AGENDADA;
24;GRUPO;2026-06-18;00:00;Estádio Azteca;Glenn Nyberg;K;Uzbequistão;Colômbia;FASE_DE_GRUPOS;AGENDADA;
25;GRUPO;2026-06-18;13:00;Mercedes-Benz Stadium;Danny Makkelie;A;Tchéquia;África do Sul;FASE_DE_GRUPOS;AGENDADA;
26;GRUPO;2026-06-18;19:00;SoFi Stadium;Raphael Claus;B;Suíça;Bósnia e Herzegovina;FASE_DE_GRUPOS;AGENDADA;
27;GRUPO;2026-06-18;22:00;BC Place;Mustapha Ghorbal;B;Canadá;Catar;FASE_DE_GRUPOS;AGENDADA;
28;GRUPO;2026-06-19;00:00;Estádio Akron;Facundo Tello;A;México;Coreia do Sul;FASE_DE_GRUPOS;AGENDADA;
29;GRUPO;2026-06-19;04:00;Levi's Stadium;Drew Fischer;D;Turquia;Paraguai;FASE_DE_GRUPOS;AGENDADA;
30;GRUPO;2026-06-19;19:00;Lumen Field;Ismail Elfath;D;Estados Unidos;Austrália;FASE_DE_GRUPOS;AGENDADA;
31;GRUPO;2026-06-19;19:00;Gillette Stadium;Felix Zwayer;C;Escócia;Marrocos;FASE_DE_GRUPOS;AGENDADA;
32;GRUPO;2026-06-19;22:00;Lincoln Financial Field;Wilton Sampaio;C;Brasil;Haiti;FASE_DE_GRUPOS;AGENDADA;
33;GRUPO;2026-06-20;02:00;Estádio BBVA;Kevin Ortega;F;Tunísia;Japão;FASE_DE_GRUPOS;AGENDADA;
34;GRUPO;2026-06-20;15:00;NRG Stadium;Yael Falcon Perez;F;Holanda;Suécia;FASE_DE_GRUPOS;AGENDADA;
35;GRUPO;2026-06-20;17:00;BMO Field;Michael Oliver;E;Alemanha;Costa do Marfim;FASE_DE_GRUPOS;AGENDADA;
36;GRUPO;2026-06-20;22:00;Arrowhead Stadium;Juan Gabriel Benitez;E;Equador;Curaçao;FASE_DE_GRUPOS;AGENDADA;
37;GRUPO;2026-06-21;13:00;Mercedes-Benz Stadium;Clement Turpin;H;Espanha;Arábia Saudita;FASE_DE_GRUPOS;AGENDADA;
38;GRUPO;2026-06-21;18:00;SoFi Stadium;Francois Letexier;G;Bélgica;Irã;FASE_DE_GRUPOS;AGENDADA;
39;GRUPO;2026-06-21;19:00;Hard Rock Stadium;Andres Rojas;H;Uruguai;Cabo Verde;FASE_DE_GRUPOS;AGENDADA;
40;GRUPO;2026-06-22;00:00;BC Place;Espen Eskas;G;Nova Zelândia;Egito;FASE_DE_GRUPOS;AGENDADA;
41;GRUPO;2026-06-22;15:00;AT&T Stadium;Szymon Marciniak;J;Argentina;Áustria;FASE_DE_GRUPOS;AGENDADA;
42;GRUPO;2026-06-22;18:00;Lincoln Financial Field;Anthony Taylor;I;França;Iraque;FASE_DE_GRUPOS;AGENDADA;
43;GRUPO;2026-06-22;21:00;MetLife Stadium;Istvan Kovacs;I;Noruega;Senegal;FASE_DE_GRUPOS;AGENDADA;
44;GRUPO;2026-06-23;03:00;Levi's Stadium;Maurizio Mariani;J;Jordânia;Argélia;FASE_DE_GRUPOS;AGENDADA;
45;GRUPO;2026-06-23;15:00;NRG Stadium;Jesus Valenzuela;K;Portugal;Uzbequistão;FASE_DE_GRUPOS;AGENDADA;
46;GRUPO;2026-06-23;17:00;Gillette Stadium;Alireza Faghani;L;Inglaterra;Gana;FASE_DE_GRUPOS;AGENDADA;
47;GRUPO;2026-06-23;20:00;BMO Field;Glenn Nyberg;L;Panamá;Croácia;FASE_DE_GRUPOS;AGENDADA;
48;GRUPO;2026-06-23;23:00;Estádio Akron;Ramon Abatti;K;Colômbia;RD Congo;FASE_DE_GRUPOS;AGENDADA;
49;GRUPO;2026-06-24;19:00;BC Place;Slavko Vincic;B;Suíça;Canadá;FASE_DE_GRUPOS;AGENDADA;
50;GRUPO;2026-06-24;19:00;Lumen Field;Danny Makkelie;B;Bósnia e Herzegovina;Catar;FASE_DE_GRUPOS;AGENDADA;
51;GRUPO;2026-06-24;19:00;Hard Rock Stadium;Felix Zwayer;C;Escócia;Brasil;FASE_DE_GRUPOS;AGENDADA;
52;GRUPO;2026-06-24;19:00;Mercedes-Benz Stadium;Mustapha Ghorbal;C;Marrocos;Haiti;FASE_DE_GRUPOS;AGENDADA;
53;GRUPO;2026-06-25;00:00;Estádio Azteca;Francois Letexier;A;Tchéquia;México;FASE_DE_GRUPOS;AGENDADA;
54;GRUPO;2026-06-25;00:00;Estádio BBVA;Facundo Tello;A;África do Sul;Coreia do Sul;FASE_DE_GRUPOS;AGENDADA;
55;GRUPO;2026-06-25;17:00;MetLife Stadium;Michael Oliver;E;Equador;Alemanha;FASE_DE_GRUPOS;AGENDADA;
56;GRUPO;2026-06-25;17:00;Lincoln Financial Field;Cesar Ramos;E;Curaçao;Costa do Marfim;FASE_DE_GRUPOS;AGENDADA;
57;GRUPO;2026-06-25;21:00;AT&T Stadium;Anthony Taylor;F;Japão;Suécia;FASE_DE_GRUPOS;AGENDADA;
58;GRUPO;2026-06-25;21:00;Arrowhead Stadium;Sandro Schaerer;F;Tunísia;Holanda;FASE_DE_GRUPOS;AGENDADA;
59;GRUPO;2026-06-25;23:00;SoFi Stadium;Yael Falcon Perez;D;Turquia;Estados Unidos;FASE_DE_GRUPOS;AGENDADA;
60;GRUPO;2026-06-25;23:00;Levi's Stadium;Kevin Ortega;D;Paraguai;Austrália;FASE_DE_GRUPOS;AGENDADA;
61;GRUPO;2026-06-26;16:00;Gillette Stadium;Clement Turpin;I;Noruega;França;FASE_DE_GRUPOS;AGENDADA;
62;GRUPO;2026-06-26;16:00;BMO Field;Raphael Claus;I;Senegal;Iraque;FASE_DE_GRUPOS;AGENDADA;
63;GRUPO;2026-06-26;22:00;NRG Stadium;Szymon Marciniak;H;Cabo Verde;Arábia Saudita;FASE_DE_GRUPOS;AGENDADA;
64;GRUPO;2026-06-26;22:00;Estádio Akron;Jesus Valenzuela;H;Uruguai;Espanha;FASE_DE_GRUPOS;AGENDADA;
65;GRUPO;2026-06-27;00:00;Lumen Field;Espen Eskas;G;Egito;Irã;FASE_DE_GRUPOS;AGENDADA;
66;GRUPO;2026-06-27;00:00;BC Place;Istvan Kovacs;G;Nova Zelândia;Bélgica;FASE_DE_GRUPOS;AGENDADA;
67;GRUPO;2026-06-27;18:00;MetLife Stadium;Slavko Vincic;L;Panamá;Inglaterra;FASE_DE_GRUPOS;AGENDADA;
68;GRUPO;2026-06-27;18:00;Lincoln Financial Field;Alireza Faghani;L;Croácia;Gana;FASE_DE_GRUPOS;AGENDADA;
69;GRUPO;2026-06-27;20:30;Hard Rock Stadium;Danny Makkelie;K;Colômbia;Portugal;FASE_DE_GRUPOS;AGENDADA;
70;GRUPO;2026-06-27;20:30;Mercedes-Benz Stadium;Wilton Sampaio;K;RD Congo;Uzbequistão;FASE_DE_GRUPOS;AGENDADA;
71;GRUPO;2026-06-27;23:00;Arrowhead Stadium;Francois Letexier;J;Argélia;Áustria;FASE_DE_GRUPOS;AGENDADA;
72;GRUPO;2026-06-27;23:00;AT&T Stadium;Szymon Marciniak;J;Jordânia;Argentina;FASE_DE_GRUPOS;AGENDADA;
